C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:8:	UnnecessaryImport:	Unused import 'javax.swing.JOptionPane'
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:27:	ShortClassName:	Avoid short class names like Game
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:27:	CyclomaticComplexity:	The class 'Game' has a total cyclomatic complexity of 98 (highest 23).
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:27:	TooManyMethods:	This class has too many methods, consider refactoring it.
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:29:	LooseCoupling:	Avoid using implementation types like 'ArrayList'; use the interface instead
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:29:	ImmutableField:	Private field 'availableCities' could be made final; it is only initialized in the declaration or constructor.
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:30:	LooseCoupling:	Avoid using implementation types like 'ArrayList'; use the interface instead
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:30:	ImmutableField:	Private field 'distances' could be made final; it is only initialized in the declaration or constructor.
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:31:	FinalFieldCouldBeStatic:	This final field could be made static
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:35:	MethodArgumentCouldBeFinal:	Parameter 'playerCity' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:35:	MethodArgumentCouldBeFinal:	Parameter 'playerName' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:39:	UseDiamondOperator:	Explicit type arguments can be replaced by Diamond Operator
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:40:	UseDiamondOperator:	Explicit type arguments can be replaced by Diamond Operator
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:43:	LocalVariableCouldBeFinal:	Local variable 'c' could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:46:	ControlStatementBraces:	This statement should have braces
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:55:	AvoidFileStream:	Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:55:	ShortVariable:	Avoid variables with short names like br
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:55:	LocalVariableCouldBeFinal:	Local variable 'br' could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:57:	UseDiamondOperator:	Explicit type arguments can be replaced by Diamond Operator
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:57:	LocalVariableCouldBeFinal:	Local variable 'names' could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:61:	LocalVariableCouldBeFinal:	Local variable 'content' could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:62:	ConfusingTernary:	Avoid if (x != y) ..; else ..;
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:76:	MethodArgumentCouldBeFinal:	Parameter 'cityName' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:76:	MethodArgumentCouldBeFinal:	Parameter 'path' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:76:	CognitiveComplexity:	The method 'loadArmy(String, String)' has a cognitive complexity of 24, current threshold is 15
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:76:	CyclomaticComplexity:	The method 'loadArmy(String, String)' has a cyclomatic complexity of 13.
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:78:	AvoidFileStream:	Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:78:	ShortVariable:	Avoid variables with short names like br
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:78:	LocalVariableCouldBeFinal:	Local variable 'br' could be declared final
